Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Avengers: Endgame,Walt Disney Studios Motion Pictures,3571150074662,356000000,Apr 26  2019  Sep 12  2019,3 hr 1 min,Action,4662 theaters
The Lion King,Walt Disney Studios Motion Pictures,1917707594725,260000000,Jul 19  2019  Dec 5  2019,1 hr 58 min,Adventure,4802 theaters
Toy Story 4,Walt Disney Studios Motion Pictures,1209080654575,0,Jun 21  2019  Dec 5  2019,1 hr 40 min,Adventure,4575 theaters
Frozen II,Walt Disney Studios Motion Pictures,1302633584440,0,Nov 22  2019,1 hr 43 min,Adventure,4440 theaters
Captain Marvel,Walt Disney Studios Motion Pictures,1534334234310,0,Mar 8  2019  Jul 4  2019,2 hr 3 min,Action,4310 theaters
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,1773838644406,0,Dec 20  2019,2 hr 22 min,Action,4406 theaters
Spider-Man: Far from Home,Sony Pictures Releasing,925792124634,160000000,Jul 2  2019  Oct 24  2019,2 hr 9 min,Action,4634 theaters
Aladdin,Walt Disney Studios Motion Pictures,915009294476,183000000,May 24  2019  Oct 24  2019,2 hr 8 min,Adventure,4476 theaters
Joker,Warner Bros.,962023374374,55000000,Oct 4  2019,2 hr 2 min,Crime,4374 theaters
It Chapter Two,Warner Bros.,910621524570,0,Sep 6  2019  Dec 5  2019,2 hr 49 min,Drama,4570 theaters
Jumanji: The Next Level,Sony Pictures Releasing,592515434227,125000000,Dec 13  2019,2 hr 3 min,Action,4227 theaters
Us,Universal Pictures,711176253741,20000000,Mar 22  2019  Jun 6  2019,1 hr 56 min,Horror,3743 theaters
Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,600389504253,200000000,Aug 2  2019  Nov 1  2019,2 hr 17 min,Action,4344 theaters
John Wick: Chapter 3 - Parabellum,Lionsgate,568180673850,0,May 17  2019  Sep 12  2019,2 hr 11 min,Action,3850 theaters
How to Train Your Dragon: The Hidden World,Universal Pictures,550222454259,129000000,Feb 22  2019  Jun 13  2019,1 hr 44 min,Action,4286 theaters
The Secret Life of Pets 2,Universal Pictures,466526804561,80000000,Jun 7  2019  Sep 19  2019,1 hr 26 min,Adventure,4564 theaters
Pokémon Detective Pikachu,Warner Bros.,543652424202,150000000,May 10  2019  Aug 15  2019,1 hr 44 min,Action,4248 theaters
Once Upon a Time... in Hollywood,Sony Pictures Releasing,410820183659,90000000,Jul 26  2019  Feb 20  2020,2 hr 41 min,Comedy,3659 theaters
Shazam!,Warner Bros.,535053264217,100000000,Apr 5  2019  Jul 25  2019,2 hr 12 min,Action,4306 theaters
Aquaman,Warner Bros.,678735224125,0,Dec 21  2018  Apr 4  2019,2 hr 23 min,Action,4184 theaters
Knives Out,Lionsgate,267695483461,40000000,Nov 27  2019,2 hr 11 min,Comedy,3461 theaters
Dumbo,Walt Disney Studios Motion Pictures,459907484259,170000000,Mar 29  2019  Aug 8  2019,1 hr 52 min,Adventure,4259 theaters
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,369487133790,0,Oct 18  2019  Feb 13  2020,1 hr 59 min,Adventure,3820 theaters
Glass,Universal Pictures,403289203841,20000000,Jan 18  2019  Apr 4  2019,2 hr 9 min,Drama,3844 theaters
Godzilla: King of the Monsters,Warner Bros.,477762934108,170000000,May 31  2019  Aug 29  2019,2 hr 12 min,Action,4108 theaters
The Upside,STX Entertainment,203550003080,37500000,Jan 11  2019  May 2  2019,2 hr 6 min,Comedy,3568 theaters
Ford v Ferrari,Twentieth Century Fox,314749583528,97600000,Nov 15  2019,2 hr 32 min,Action,3746 theaters
The Lego Movie 2: The Second Part,Warner Bros.,341153354303,0,Feb 8  2019  May 9  2019,1 hr 47 min,Action,4303 theaters
Hustlers,STX Entertainment,331813613250,20000000,Sep 13  2019  Jan 9  2020,1 hr 50 min,Comedy,3525 theaters
The Addams Family,United Artists Releasing,303000074007,0,Oct 11  2019,1 hr 26 min,Animation,4107 theaters
Downton Abbey,Focus Features,310336653079,0,Sep 20  2019,2 hr 2 min,Drama,3548 theaters
Rocketman,Paramount Pictures,257257223610,40000000,May 31  2019  Sep 5  2019,2 hr 1 min,Biography,3610 theaters
Alita: Battle Angel,Twentieth Century Fox,285256133790,170000000,Feb 14  2019  May 9  2019,2 hr 2 min,Action,3802 theaters
Good Boys,Universal Pictures,214026053204,20000000,Aug 16  2019  Nov 1  2019,1 hr 30 min,Adventure,3458 theaters
Spider-Man: Into the Spider-Verse,Sony Pictures Releasing,353633763813,0,Dec 14  2018  Apr 4  2019,1 hr 57 min,Action,3813 theaters
Men in Black: International,Sony Pictures Releasing,300358384224,110000000,Jun 14  2019  Oct 6  2019,1 hr 54 min,Action,4224 theaters
Annabelle Comes Home,Warner Bros.,202697233613,0,Jun 26  2019  Oct 3  2019,1 hr 46 min,Horror,3613 theaters
Yesterday,Universal Pictures,170100502603,26000000,Jun 28  2019  Sep 5  2019,1 hr 56 min,Comedy,2755 theaters
A Madea Family Funeral,Lionsgate,270623322442,0,Mar 1  2019  May 16  2019,1 hr 49 min,Comedy,2442 theaters
Zombieland: Double Tap,Sony Pictures Releasing,268031043468,42000000,Oct 18  2019  Jan 23  2020,1 hr 39 min,Action,3468 theaters
Angel Has Fallen,Lionsgate,213809873286,40000000,Aug 23  2019  Oct 31  2019,2 hr 1 min,Action,3336 theaters
Scary Stories to Tell in the Dark,Lionsgate,209153463135,25000000,Aug 9  2019,1 hr 48 min,Adventure,3135 theaters
Mary Poppins Returns,Walt Disney Studios Motion Pictures,235231214090,130000000,Dec 19  2018  Apr 11  2019,2 hr 10 min,Comedy,4090 theaters
X-Men: Dark Phoenix,Twentieth Century Fox,328283483721,0,Jun 7  2019  Aug 15  2019,1 hr 53 min,Action,3721 theaters
Terminator: Dark Fate,Paramount Pictures,290338324086,185000000,Nov 1  2019  Dec 26  2019,2 hr 8 min,Action,4086 theaters
Abominable,Universal Pictures,206121004242,75000000,Sep 27  2019  Jan 2  2020,1 hr 37 min,Adventure,4248 theaters
Dora and the Lost City of Gold,Paramount Pictures,174315883735,49000000,Aug 9  2019,1 hr 42 min,Adventure,3735 theaters
Escape Room,Sony Pictures Releasing,182381722717,9000000,Jan 4  2019  Apr 25  2019,1 hr 39 min,Action,2717 theaters
A Beautiful Day in the Neighborhood,Sony Pictures Releasing,132512383235,25000000,Nov 22  2019,1 hr 49 min,Biography,3491 theaters
Midway,Lionsgate,178974193242,100000000,Nov 8  2019  Jan 23  2020,2 hr 18 min,Action,3242 theaters
Bumblebee,Paramount Pictures,216540473550,135000000,Dec 21  2018  Mar 7  2019,1 hr 54 min,Action,3597 theaters
The Curse of la Llorona,Warner Bros.,263476313372,9000000,Apr 19  2019  Jul 4  2019,1 hr 33 min,Horror,3372 theaters
Pet Sematary,Paramount Pictures,245027753585,21000000,Apr 5  2019  May 30  2019,1 hr 41 min,Horror,3585 theaters
What Men Want,Paramount Pictures,182320872912,20000000,Feb 8  2019  Apr 11  2019,1 hr 57 min,Comedy,2912 theaters
Green Book,Universal Pictures,32042925,23000000,No release date,2 hr 10 min,Biography,2648 theaters
Ad Astra,Twentieth Century Fox,190013983460,0,Sep 20  2019  Dec 12  2019,2 hr 3 min,Adventure,3460 theaters
Isn't It Romantic,Warner Bros.,142477583444,0,Feb 13  2019  May 9  2019,1 hr 29 min,Comedy,3444 theaters
Gemini Man,Paramount Pictures,205523723642,138000000,Oct 11  2019,1 hr 57 min,Action,3642 theaters
Ma,Universal Pictures,180998052808,5000000,May 31  2019  Jul 18  2019,1 hr 39 min,Horror,2816 theaters
Five Feet Apart,Lionsgate,131902862803,0,Mar 15  2019  May 30  2019,1 hr 56 min,Drama,2866 theaters
Wonder Park,Paramount Pictures,158536463838,0,Mar 15  2019  May 9  2019,1 hr 25 min,Adventure,3838 theaters
Rambo: Last Blood,Lionsgate,188729193618,50000000,Sep 20  2019  Nov 21  2019,1 hr 29 min,Action,3618 theaters
Playing with Fire,Paramount Pictures,127237813125,29900000,Nov 8  2019,1 hr 36 min,Comedy,3185 theaters
Harriet,Focus Features,116767202059,17000000,Nov 1  2019  Jan 23  2020,2 hr 5 min,Action,2186 theaters
A Dog's Way Home,Sony Pictures Releasing,112512633090,18000000,Jan 11  2019  Mar 28  2019,1 hr 36 min,Adventure,3090 theaters
The Angry Birds Movie 2,Sony Pictures Releasing,103540733869,65000000,Aug 13  2019  Nov 14  2019,1 hr 37 min,Adventure,3869 theaters
Little,Universal Pictures,154054552667,20000000,Apr 12  2019  Jun 6  2019,1 hr 49 min,Comedy,2667 theaters
Queen & Slim,Universal Pictures,118904901690,0,Nov 27  2019  Jan 30  2020,2 hr 12 min,Crime,1715 theaters
Breakthrough,Twentieth Century Fox,112823332824,14000000,Apr 17  2019  Jul 4  2019,1 hr 56 min,Biography,2913 theaters
The Mule,Warner Bros.,175094312588,50000000,Dec 14  2018  Mar 14  2019,1 hr 56 min,Crime,3329 theaters
Crawl,Paramount Pictures,120052103170,13500000,Jul 12  2019  Sep 5  2019,1 hr 27 min,Drama,3170 theaters
