,Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
0,Bad Boys for Life,Sony Pictures Releasing,"$62,504,1053,775","$90,000,000","['Jan 17, 2020']",2 hr 4 min,"['Action', 'Comedy', 'Crime', 'Thriller']","3,775 theaters"
1,1917,Universal Pictures,"$576,21611",,,1 hr 59 min,"['Drama', 'War']","3,987 theaters"
2,Sonic the Hedgehog,Paramount Pictures,"$58,018,3484,167","$85,000,000","['Feb 14, 2020']",1 hr 39 min,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","4,198 theaters"
3,Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,"$177,383,8644,406",,"['Dec 20, 2019']",2 hr 22 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","4,406 theaters"
4,Jumanji: The Next Level,Sony Pictures Releasing,"$59,251,5434,227","$125,000,000","['Dec 13, 2019']",2 hr 3 min,"['Action', 'Adventure', 'Comedy', 'Fantasy']","4,227 theaters"
5,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Warner Bros.,"$33,010,0174,236","$84,500,000","['Feb 7, 2020']",1 hr 49 min,"['Action', 'Adventure', 'Crime']","4,236 theaters"
6,Dolittle,Universal Pictures,"$21,844,0454,155","$175,000,000","['Jan 17, 2020']",1 hr 41 min,"['Adventure', 'Comedy', 'Family', 'Fantasy']","4,155 theaters"
7,Little Women,Sony Pictures Releasing,"$16,755,3103,308","$40,000,000","['Dec 25, 2019']",2 hr 15 min,"['Drama', 'Romance']","3,308 theaters"
8,Knives Out,Lionsgate,"$26,769,5483,461","$40,000,000","['Nov 27, 2019']",2 hr 11 min,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']","3,461 theaters"
9,The Call of the Wild,Twentieth Century Fox,"$24,791,6243,752","$135,000,000","['Feb 21, 2020']",1 hr 40 min,"['Adventure', 'Drama', 'Family']","3,865 theaters"
10,Frozen II,Walt Disney Studios Motion Pictures,"$130,263,3584,440",,"['Nov 22, 2019']",1 hr 43 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","4,440 theaters"
11,Spies in Disguise,Twentieth Century Fox,"$13,354,7983,502",,"['Dec 25, 2019']",1 hr 42 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']","3,502 theaters"
12,Just Mercy,Warner Bros.,"$107,8584",,,2 hr 17 min,['Drama'],"2,457 theaters"
13,The Gentlemen,STX Entertainment,"$10,651,8842,165",,"['Jan 24, 2020']",1 hr 53 min,"['Action', 'Comedy', 'Crime']","2,675 theaters"
14,The Invisible Man,Universal Pictures,"$28,205,6653,610","$7,000,000","['Feb 28, 2020']",2 hr 4 min,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']","3,610 theaters"
15,Parasite,Neon,"$393,2163",,,2 hr 12 min,"['Comedy', 'Drama', 'Thriller']","2,001 theaters"
16,Uncut Gems,A24,"$537,2425",,,2 hr 15 min,"['Crime', 'Drama', 'Thriller']","2,686 theaters"
17,Fantasy Island,Sony Pictures Releasing,"$12,310,4202,784","$7,000,000","['Feb 14, 2020']",1 hr 49 min,"['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","2,784 theaters"
18,Like a Boss,Paramount Pictures,"$10,011,2723,078","$29,000,000","['Jan 10, 2020', 'Feb 20, 2020']",1 hr 23 min,['Comedy'],"3,081 theaters"
19,The Grudge,Sony Pictures Releasing,"$11,404,1132,642","$10,000,000","['Jan 3, 2020', 'Feb 27, 2020']",1 hr 34 min,"['Horror', 'Mystery']","2,642 theaters"
20,The Photograph,Universal Pictures,"$12,181,8652,516","$16,000,000","['Feb 14, 2020']",1 hr 46 min,"['Drama', 'Romance']","2,516 theaters"
21,Underwater,Twentieth Century Fox,"$7,008,2972,791",,"['Jan 10, 2020']",1 hr 35 min,"['Action', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","2,791 theaters"
22,The Turning,Universal Pictures,"$6,950,0452,571","$14,000,000","['Jan 24, 2020']",1 hr 34 min,"['Drama', 'Horror', 'Mystery']","2,571 theaters"
23,Gretel & Hansel,United Artists Releasing,"$6,154,0073,007",,"['Jan 31, 2020']",1 hr 27 min,"['Fantasy', 'Horror', 'Thriller']","3,007 theaters"
24,Bombshell,Lionsgate,"$319,1574",,,1 hr 49 min,"['Biography', 'Drama']","1,721 theaters"
25,Jojo Rabbit,Fox Searchlight Pictures,"$349,5555",,,1 hr 48 min,"['Comedy', 'Drama', 'War']","1,173 theaters"
26,Ford v Ferrari,Twentieth Century Fox,"$31,474,9583,528","$97,600,000","['Nov 15, 2019']",2 hr 32 min,"['Action', 'Biography', 'Drama', 'Sport']","3,746 theaters"
27,My Hero Academia: Heroes Rising,FUNimation Entertainment,"$5,888,3301,260",,"['Feb 26, 2020']",1 hr 44 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']","1,275 theaters"
28,Brahms: The Boy II,STX Entertainment,"$5,823,0062,151","$10,000,000","['Feb 21, 2020']",1 hr 26 min,"['Drama', 'Horror', 'Mystery', 'Thriller']","2,151 theaters"
29,Downhill,Fox Searchlight Pictures,"$4,622,0182,301",,"['Feb 14, 2020']",1 hr 26 min,"['Comedy', 'Drama']","2,311 theaters"
30,Weathering with You,GKIDS,"$1,808,533486",,"['Jan 15, 2020']",1 hr 52 min,"['Animation', 'Drama', 'Fantasy', 'Romance']","1,020 theaters"
31,Impractical Jokers: The Movie,truTV,"$2,607,049357",,,1 hr 32 min,['Comedy'],"1,900 theaters"
32,Cats,Universal Pictures,"$6,619,8703,380","$95,000,000","['Dec 20, 2019', 'Feb 13, 2020']",1 hr 50 min,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']","3,380 theaters"
33,The Rhythm Section,Paramount Pictures,"$2,715,3843,049",,"['Jan 31, 2020', 'Feb 20, 2020']",1 hr 49 min,"['Action', 'Drama', 'Mystery', 'Thriller']","3,049 theaters"
34,A Beautiful Day in the Neighborhood,Sony Pictures Releasing,"$13,251,2383,235","$25,000,000","['Nov 22, 2019']",1 hr 49 min,"['Biography', 'Drama']","3,491 theaters"
35,Richard Jewell,Warner Bros.,"$4,705,2652,502",,"['Dec 13, 2019', 'Feb 6, 2020']",2 hr 11 min,"['Biography', 'Crime', 'Drama']","2,502 theaters"
36,2020 Oscar Nominated Short Films,Magnolia Pictures,"$1,155,505465",,"['Jan 31, 2020']",2 hr 33 min,,536 theaters
37,Queen & Slim,Universal Pictures,"$11,890,4901,690",,"['Nov 27, 2019', 'Jan 30, 2020']",2 hr 12 min,"['Crime', 'Drama', 'Romance']","1,715 theaters"
38,The Last Full Measure,Roadside Attractions,"$1,058,019614",,"['Jan 24, 2020']",1 hr 56 min,"['Drama', 'War']",617 theaters
39,Las Pildoras De Mi Novio,Pantelion Films,"$1,396,140350",,"['Feb 21, 2020']",1 hr 40 min,['Comedy'],350 theaters
40,Portrait of a Lady on Fire,Neon,"$67,3442",,"['Dec 6, 2019']",2 hr 2 min,"['Drama', 'Romance']",268 theaters
41,Ip Man 4: The Finale,Well Go USA Entertainment,"$737,71870",,"['Dec 25, 2019']",1 hr 47 min,"['Action', 'Biography', 'Drama', 'History']",125 theaters
42,Emma.,Focus Features,"$234,4825",,,2 hr 4 min,"['Comedy', 'Drama']",97 theaters
43,Joker,Warner Bros.,"$96,202,3374,374","$55,000,000","['Oct 4, 2019']",2 hr 2 min,"['Crime', 'Drama', 'Thriller']","4,374 theaters"
44,The Lodge,Neon,"$76,2516",,"['Feb 7, 2020']",1 hr 48 min,"['Drama', 'Horror', 'Thriller']",395 theaters
45,Once Upon a Time... in Hollywood,Sony Pictures Releasing,"$41,082,0183,659","$90,000,000","['Jul 26, 2019', 'Feb 20, 2020']",2 hr 41 min,"['Comedy', 'Drama']","3,659 theaters"
46,The Assistant,Bleecker Street Media,"$79,1414",,"['Jan 31, 2020']",1 hr 27 min,['Drama'],155 theaters
47,The Song of Names,Sony Pictures Classics,"$39,45210",,"['Dec 25, 2019']",1 hr 53 min,['Drama'],182 theaters
48,Jay and Silent Bob Reboot,Saban Films,"$93,5201",,"['Oct 15, 2019']",1 hr 45 min,['Comedy'],788 theaters
49,A Hidden Life,Fox Searchlight Pictures,"$50,3835",,"['Dec 13, 2019', 'Feb 6, 2020']",2 hr 54 min,"['Biography', 'Drama', 'Romance', 'War']",151 theaters
50,Sarileru Neekevvaru,Great India Films,"$821,000300",,"['Jan 10, 2020']",2 hr 49 min,"['Action', 'Comedy', 'Drama']",300 theaters
51,21 Bridges,STX Entertainment,"$9,261,2682,665","$33,000,000","['Nov 22, 2019', 'Jan 23, 2020']",1 hr 39 min,"['Action', 'Crime', 'Drama', 'Thriller']","2,665 theaters"
52,Patterns of Evidence: The Red Sea Miracle,Fathom Events,,,"['Feb 18, 2020']",2 hr 30 min,['Documentary'],807 theaters
53,Pain and Glory,Sony Pictures Classics,"$152,6364",,"['Oct 4, 2019']",1 hr 53 min,['Drama'],266 theaters
54,Merci pour tout,eOne Entertainment,"$231,90857",,"['Dec 25, 2019']",1 hr 39 min,['Comedy'],76 theaters
55,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,"$36,948,7133,790",,"['Oct 18, 2019', 'Feb 13, 2020']",1 hr 59 min,"['Adventure', 'Family', 'Fantasy']","3,820 theaters"
56,Chhapaak,FIP,"$316,781100",,"['Jan 10, 2020', 'Jan 30, 2020']",2 hr,"['Biography', 'Drama']",100 theaters
57,Mafia Inc,Entertainment One,"$264,93985",,"['Feb 14, 2020']",2 hr 15 min,"['Crime', 'Drama']",85 theaters
58,Panga,FIP,"$285,689102",,"['Jan 24, 2020', 'Feb 13, 2020']",2 hr 11 min,"['Drama', 'Sport']",102 theaters
59,Midway,Lionsgate,"$17,897,4193,242","$100,000,000","['Nov 8, 2019', 'Jan 23, 2020']",2 hr 18 min,"['Action', 'Drama', 'History', 'War']","3,242 theaters"
60,Black Christmas,Universal Pictures,"$4,240,2452,625","$5,000,000","['Dec 13, 2019']",1 hr 32 min,"['Horror', 'Mystery', 'Thriller']","2,625 theaters"
61,Color Out of Space,RLJE Films,"$216,16281",,"['Jan 24, 2020']",1 hr 51 min,"['Horror', 'Sci-Fi']",81 theaters
62,Harriet,Focus Features,"$11,676,7202,059","$17,000,000","['Nov 1, 2019', 'Jan 23, 2020']",2 hr 5 min,"['Action', 'Biography', 'Drama', 'History']","2,186 theaters"
63,The Addams Family,United Artists Releasing,"$30,300,0074,007",,"['Oct 11, 2019']",1 hr 26 min,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']","4,107 theaters"
64,Dark Waters,Focus Features,"$102,6064",,,2 hr 6 min,"['Biography', 'Drama', 'History', 'Thriller']","2,112 theaters"
65,Fantastic Fungi,Area 23a,"$9,4191",,"['Sep 20, 2019']",1 hr 21 min,['Documentary'],37 theaters
66,Ride Your Wave,Fathom Events,"$19,64312",,"['Feb 19, 2020']",1 hr 34 min,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']",605 theaters
67,Les Misérables,Amazon Studios,"$24,1544",,"['Jan 10, 2020']",1 hr 44 min,"['Crime', 'Drama', 'Thriller']",69 theaters
68,Clemency,Neon,"$35,4442",,"['Dec 27, 2019']",1 hr 52 min,['Drama'],127 theaters
69,Playing with Fire,Paramount Pictures,"$12,723,7813,125","$29,900,000","['Nov 8, 2019']",1 hr 36 min,"['Comedy', 'Family']","3,185 theaters"
70,Judy,Roadside Attractions,"$2,916,548461",,,1 hr 58 min,"['Biography', 'Drama', 'Romance']","1,627 theaters"
71,Mystify: Michael Hutchence,Fathom Events,,,"['Jan 7, 2020']",1 hr 42 min,"['Biography', 'Documentary', 'Music']",597 theaters
72,Created Equal: Clarence Thomas in His Own Words,Manifold Productions Inc.,"$74,57723",,"['Jan 31, 2020']",1 hr 56 min,['Documentary'],53 theaters
73,An American in Paris,Fathom Events,"$182,606651",,"['Jan 19, 2020']",1 hr 54 min,"['Drama', 'Musical', 'Romance']",651 theaters
74,The Traitor,Sony Pictures Classics,"$23,2403",,"['Jan 31, 2020']",2 hr 25 min,"['Biography', 'Crime', 'Drama']",45 theaters
75,Seberg,Amazon Studios,"$47,1803",,"['Feb 21, 2020']",1 hr 42 min,"['Biography', 'Drama', 'Thriller']",373 theaters
76,Blind Eyes Opened,Fathom Events,,,"['Jan 23, 2020']",1 hr 55 min,['Drama'],534 theaters
77,Doctor Who Live Q&A And Screening,Fathom Events,"$228,615692",,"['Jan 5, 2020']",2 hr 46 min,,692 theaters
78,63 Up,BritBox,"$13,9561",,"['Nov 27, 2019']",3 hr,['Documentary'],28 theaters
79,Once Were Brothers: Robbie Robertson and the Band,Magnolia Pictures,"$37,8284",,"['Feb 21, 2020']",1 hr 40 min,"['Biography', 'Documentary', 'History', 'Music']",149 theaters
80,CatVideoFest 2020,Oscilloscope,"$217,92730",,"['Feb 21, 2020']",1 hr 15 min,['Documentary'],77 theaters
81,Ashfall,Capelight Pictures,"$36,2012",,"['Dec 19, 2019']",2 hr 10 min,"['Action', 'Drama']",18 theaters
82,National Theater Live: Cyrano de Bergerac,Fathom Events,,,"['Feb 20, 2020']",2 hr 40 min,['Drama'],472 theaters
83,Ordinary Love,Bleecker Street Media,"$23,5643",,"['Feb 14, 2020']",1 hr 32 min,"['Drama', 'Romance']",70 theaters
84,Zombieland: Double Tap,Sony Pictures Releasing,"$26,803,1043,468","$42,000,000","['Oct 18, 2019', 'Jan 23, 2020']",1 hr 39 min,"['Action', 'Comedy', 'Horror']","3,468 theaters"
85,The Doors: Break On Thru - A Celebration Of Ray Manzarek,Trafalgar Releasing,"$4,31215",,"['Feb 12, 2020']",1 hr 7 min,['Documentary'],330 theaters
86,Cunningham,Magnolia Pictures,"$18,4224",,"['Dec 13, 2019']",1 hr 33 min,"['Biography', 'Documentary', 'Music']",23 theaters
