Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Avengers: Endgame,Walt Disney Studios Motion Pictures,3571150074662,356000000,Apr,3 hr 1 min,Action,4662
The Lion King,Walt Disney Studios Motion Pictures,1917707594725,260000000,Jul,1 hr 58 min,Adventure,4802
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,1773838644406,0,Dec,2 hr 22 min,Action,4406
Captain Marvel,Walt Disney Studios Motion Pictures,1534334234310,0,Mar,2 hr 3 min,Action,4310
Frozen II,Walt Disney Studios Motion Pictures,1302633584440,0,Nov,1 hr 43 min,Adventure,4440
Toy Story 4,Walt Disney Studios Motion Pictures,1209080654575,0,Jun,1 hr 40 min,Adventure,4575
Joker,Warner Bros.,962023374374,55000000,Oct,2 hr 2 min,Crime,4374
Spider-Man: Far from Home,Sony Pictures Releasing,925792124634,160000000,Jul,2 hr 9 min,Action,4634
Aladdin,Walt Disney Studios Motion Pictures,915009294476,183000000,May,2 hr 8 min,Adventure,4476
It Chapter Two,Warner Bros.,910621524570,0,Sep,2 hr 49 min,Drama,4570
Venom,Sony Pictures Releasing,802557564250,100000000,Oct,1 hr 52 min,Action,4250
Halloween,Universal Pictures,762215453928,10000000,Oct,1 hr 46 min,Horror,3990
Us,Universal Pictures,711176253741,20000000,Mar,1 hr 56 min,Horror,3743
Aquaman,Warner Bros.,678735224125,0,Dec,2 hr 23 min,Action,4184
Dr. Seuss' The Grinch,Universal Pictures,675728554141,75000000,Nov,1 hr 25 min,Animation,4141
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,621631044163,200000000,Nov,2 hr 14 min,Adventure,4163
Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,600389504253,200000000,Aug,2 hr 17 min,Action,4344
Jumanji: The Next Level,Sony Pictures Releasing,592515434227,125000000,Dec,2 hr 3 min,Action,4227
John Wick: Chapter 3 - Parabellum,Lionsgate,568180673850,0,May,2 hr 11 min,Action,3850
Ralph Breaks the Internet,Walt Disney Studios Motion Pictures,562376344017,175000000,Nov,1 hr 52 min,Adventure,4017
How to Train Your Dragon: The Hidden World,Universal Pictures,550222454259,129000000,Feb,1 hr 44 min,Action,4286
Pokémon Detective Pikachu,Warner Bros.,543652424202,150000000,May,1 hr 44 min,Action,4248
Shazam!,Warner Bros.,535053264217,100000000,Apr,2 hr 12 min,Action,4306
Bohemian Rhapsody,Twentieth Century Fox,510611194000,52000000,Nov,2 hr 14 min,Biography,4000
Godzilla: King of the Monsters,Warner Bros.,477762934108,170000000,May,2 hr 12 min,Action,4108
The Secret Life of Pets 2,Universal Pictures,466526804561,80000000,Jun,1 hr 26 min,Adventure,4564
Dumbo,Walt Disney Studios Motion Pictures,459907484259,170000000,Mar,1 hr 52 min,Adventure,4259
A Star Is Born,Warner Bros.,429080513686,36000000,Oct,2 hr 16 min,Drama,3904
Once Upon a Time... in Hollywood,Sony Pictures Releasing,410820183659,90000000,Jul,2 hr 41 min,Comedy,3659
Glass,Universal Pictures,403289203841,20000000,Jan,2 hr 9 min,Drama,3844
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,369487133790,0,Oct,1 hr 59 min,Adventure,3820
Creed II,Metro-Goldwyn-Mayer (MGM),355747103441,50000000,Nov,2 hr 10 min,Drama,3752
Spider-Man: Into the Spider-Verse,Sony Pictures Releasing,353633763813,0,Dec,1 hr 57 min,Action,3813
The Lego Movie 2: The Second Part,Warner Bros.,341153354303,0,Feb,1 hr 47 min,Action,4303
Hustlers,STX Entertainment,331813613250,20000000,Sep,1 hr 50 min,Comedy,3525
X-Men: Dark Phoenix,Twentieth Century Fox,328283483721,0,Jun,1 hr 53 min,Action,3721
