budget,genres,id,original_title,popularity,production_companies,release_date,revenue,runtime,title,vote_average,vote_count
50000000.0,"['Horror', 'Science Fiction', 'Thriller']",443791.0,Underwater,16.698,"['Chernin Entertainment', '20th Century Fox', 'TSG Entertainment']",2020,33617430.0,95.0,Underwater,6.0,223.0
0.0,"['Drama', 'Adventure', 'Thriller']",400090.0,The Nightingale,9.743,"['Bron Studios', 'Causeway Films', 'Made Up Stories', 'FilmNation Entertainment', 'Adelaide Film Festival', 'Screen Australia', 'Screen Tasmania', 'South Australian Film Corporation', 'Creative Wealth Media Finance']",2019,800448.0,136.0,The Nightingale,7.4,131.0
0.0,['Comedy'],440762.0,Jay and Silent Bob Reboot,26.096,"['SModcast Pictures', 'View Askew Productions', 'Miramax']",2019,1011305.0,95.0,Jay and Silent Bob Reboot,6.1,99.0
6000000.0,['Comedy'],505600.0,Booksmart,15.053,"['Annapurna Pictures', 'Gloria Sanchez Productions']",2019,24849029.0,102.0,Booksmart,7.2,937.0
260000000.0,"['Adventure', 'Family']",420818.0,The Lion King,47.264,"['Walt Disney Pictures', 'Fairview Entertainment']",2019,1656943394.0,118.0,The Lion King,7.1,4581.0
0.0,"['Thriller', 'Drama', 'Mystery']",524247.0,The Intruder,9.938,"['Hidden Empire Film Group', 'Screen Gems']",2019,25724305.0,102.0,The Intruder,6.2,180.0
185000000.0,"['Action', 'Science Fiction']",290859.0,Terminator: Dark Fate,86.08,"['Lightstorm Entertainment', 'Skydance Media', '20th Century Fox', 'Paramount', 'Tencent Pictures', 'TSG Entertainment']",2019,233685077.0,128.0,Terminator: Dark Fate,6.3,1579.0
0.0,['Drama'],500860.0,The Mustang,8.041,"['Umedia', 'Légende Films', 'France 3 Cinéma']",2019,1144575.0,96.0,The Mustang,7.1,132.0
0.0,['Thriller'],500899.0,The Wedding Guest,6.617000000000001,"['India Take One Productions', 'Revolution Films', 'Riverstone Pictures', 'Ingenious Media', 'Lipsync Post', 'Stage 6 Films']",2019,386166.0,94.0,The Wedding Guest,5.8,34.0
0.0,"['Comedy', 'Horror', 'Fantasy']",535581.0,The Dead Don't Die,13.369000000000002,"['Animal Kingdom', 'Focus Features', 'Film i Väst']",2019,12104595.0,104.0,The Dead Don't Die,5.5,974.0
100000000.0,"['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']",400157.0,Wonder Park,13.876,"['Nickelodeon Movies', 'Paramount Animation', 'Ilion Animation Studios']",2019,119559110.0,86.0,Wonder Park,6.2,267.0
33000000.0,"['Animation', 'Family', 'Adventure']",330457.0,Frozen II,127.227,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",2019,1330764959.0,104.0,Frozen II,7.1,2614.0
6000000.0,"['Horror', 'Thriller']",532671.0,The Prodigy,13.651,"['Vinson Films', 'XYZ Films', 'Orion Pictures', 'Metro-Goldwyn-Mayer']",2019,14856291.0,92.0,The Prodigy,6.1,487.0
55000000.0,"['Crime', 'Thriller', 'Drama']",475557.0,Joker,98.211,"['DC Entertainment', 'Warner Bros. Pictures', 'DC Comics', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'Creative Wealth Media Finance', 'DC Films']",2019,1073698955.0,122.0,Joker,8.2,9545.0
42000000.0,"['Horror', 'Action', 'Comedy']",338967.0,Zombieland: Double Tap,53.885,"['Pariah', 'Columbia Pictures', 'Sony Pictures']",2019,122801777.0,99.0,Zombieland: Double Tap,6.9,1548.0
50000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",456740.0,Hellboy,19.32,"['Campbell Grobman Films', 'Dark Horse Entertainment', 'Millennium Films', 'Summit Entertainment', 'Boyana Film Studios', 'Encore Films', 'Lawrence Gordon Productions']",2019,44664690.0,121.0,Hellboy,5.2,1593.0
95000000.0,"['Drama', 'Comedy', 'Thriller']",466272.0,Once Upon a Time… in Hollywood,55.335,"['Heyday Films', 'Columbia Pictures', 'Bona Film Group']",2019,374251247.0,162.0,Once Upon a Time… in Hollywood,7.5,4851.0
0.0,"['Comedy', 'Crime', 'Drama']",565383.0,The Death of Dick Long,6.63,['A24'],2019,36586.0,100.0,The Death of Dick Long,6.4,23.0
40000000.0,"['Action', 'Thriller']",423204.0,Angel Has Fallen,39.637,"['Campbell Grobman Films', 'Eclectic Pictures', 'G-BASE', 'Millennium Films']",2019,133365452.0,122.0,Angel Has Fallen,6.0,1217.0
50000000.0,"['Action', 'Thriller', 'Drama']",522938.0,Rambo: Last Blood,37.36,"['Millennium Films', 'Balboa Productions', 'Templeton Media', 'Campbell Grobman Films', 'Dadi Film Group']",2019,91490353.0,89.0,Rambo: Last Blood,5.9,1284.0
0.0,['Drama'],522039.0,The Last Black Man in San Francisco,6.692,"['Longshot', 'Plan B Entertainment', 'A24']",2019,2975184.0,120.0,The Last Black Man in San Francisco,7.4,78.0
45000000.0,['Horror'],501170.0,Doctor Sleep,44.895,"['Warner Bros. Pictures', 'Vertigo Entertainment', 'Intrepid Pictures']",2019,72281712.0,152.0,Doctor Sleep,7.1,1148.0
40000000.0,['Drama'],504608.0,Rocketman,24.736,"['Rocket Pictures', 'Marv Films', 'Paramount', 'New Republic Pictures']",2019,167323950.0,121.0,Rocketman,7.4,1844.0
10000000.0,"['Drama', 'Mystery', 'Crime']",511322.0,The Good Liar,24.887,"['New Line Cinema', 'Bron Studios', 'Creative Wealth Media Finance']",2019,33256058.0,109.0,The Good Liar,6.6,202.0
20000000.0,"['Drama', 'Romance', 'Crime']",536743.0,Queen & Slim,29.352,"['Hillman Grad Productions', 'De La Revolución Films', '3BlackDot']",2019,46597100.0,131.0,Queen & Slim,7.3,117.0
7000000.0,"['Horror', 'Thriller', 'Science Fiction']",531309.0,Brightburn,20.452,"['Troll Court Entertainment', 'Screen Gems', 'Sony Pictures']",2019,32139941.0,91.0,Brightburn,5.8,1286.0
80000000.0,"['Action', 'Comedy', 'Fantasy']",287947.0,Shazam!,30.909,"['DC Entertainment', 'DC Comics', 'New Line Cinema', 'Warner Bros. Pictures', 'The Safran Company', 'Seven Bucks Productions', 'DC Films']",2019,363533271.0,132.0,Shazam!,7.0,4380.0
14000000.0,"['Drama', 'Romance']",537915.0,After,19.694000000000006,"['CalMaple Films', 'Wattpad', 'Offspring Entertainment']",2019,69497587.0,106.0,After,6.1,2503.0
45000000.0,['Drama'],292011.0,Richard Jewell,24.964,['Warner Bros. Pictures'],2019,33904605.0,132.0,Richard Jewell,7.5,372.0
26000000.0,"['Thriller', 'Drama', 'Mystery']",504562.0,Motherless Brooklyn,24.974,"['Class 5 Films', 'MWM Studios']",2019,18377736.0,145.0,Motherless Brooklyn,6.9,323.0
20000000.0,['Comedy'],521777.0,Good Boys,16.38,"['Good Universe', 'Point Grey Pictures']",2019,72457330.0,89.0,Good Boys,6.6,660.0
15000000.0,"['Crime', 'Action', 'Thriller']",438674.0,Dragged Across Concrete,12.083,"['Cinestate', 'Look to the Sky Films', 'Unified Pictures', 'Moot Point (Dragged) Productions', 'Assemble Media', 'Realmbuilders Productions', 'Victory Square Technologies', 'The Fyzz']",2019,366845.0,158.0,Dragged Across Concrete,6.6,273.0
30000000.0,"['Comedy', 'Romance', 'Drama']",549053.0,Last Christmas,28.427,"['Universal Pictures', 'Feigco Entertainment']",2019,121550750.0,102.0,Last Christmas,7.0,566.0
