,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
1,125000000.0,['Science Fiction'],412656.0,tt2076822,en,Chaos Walking,6.227,"['Quadrant Pictures', 'Lionsgate']",['US'],2021-01-21,0.0,98.0,['en'],Post Production,Chaos Walking,0.0,0.0
2,0.0,[],607259.0,tt4733624,en,Fatherhood,8.495,"['Sony Pictures', 'Temple Hill Entertainment', 'TriStar Pictures']",['US'],2021-01-06,0.0,98.0,['en'],Post Production,Fatherhood,0.0,0.0
3,0.0,"['Music', 'Animation', 'Comedy', 'Drama', 'Family']",438695.0,tt6467266,en,Sing 2,5.825,"['Illumination Entertainment', 'Universal Pictures']",['US'],2021-07-02,0.0,98.0,['en'],In Production,Sing 2,0.0,0.0
4,0.0,"['Family', 'Comedy', 'Animation']",598331.0,tt8337158,en,Rumble,14.134,"['Paramount', 'Paramount Animation', 'Reel FX Creative Studios', 'WWE Studios', 'Walden Media']",['US'],2021-01-29,0.0,98.0,['en'],In Production,Rumble,0.0,0.0
10,0.0,['Comedy'],670525.0,tt10120472,en,My Daughter's Psycho Friend,6.577000000000001,['Feifer Worldwide'],['US'],2020-03-20,0.0,98.0,['en'],Post Production,My Daughter's Psycho Friend,0.0,0.0
11,0.0,"['Drama', 'Science Fiction']",522402.0,tt3420504,en,BIOS,6.761,"['Amblin Entertainment', 'Dutch Angle', 'ImageMovers', 'Misher Films']","['US', 'GB']",2020-10-02,0.0,98.0,['en'],Post Production,BIOS,0.0,0.0
19,0.0,"['Action', 'Adventure', 'Animation']",527774.0,tt5109280,en,Raya and the Last Dragon,6.682,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['US'],2020-11-25,0.0,98.0,['en'],In Production,Raya and the Last Dragon,0.0,0.0
22,0.0,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Music']",560050.0,tt7488208,en,Over the Moon,9.109,['Pearl Studio'],"['CN', 'US']",2020-12-31,0.0,98.0,['en'],In Production,Over the Moon,0.0,0.0
25,0.0,"['Comedy', 'Romance']",576156.0,tt8851668,en,The Lovebirds,8.026,"['Paramount', ""Quinn's House"", '3 Arts Entertainment', 'Media Rights Capital']",[],2020-04-03,0.0,98.0,['en'],Post Production,The Lovebirds,0.0,0.0
26,0.0,"['Music', 'Crime', 'Romance']",511809.0,tt3581652,en,West Side Story,8.721,"['Amblin Entertainment', '20th Century Studios']",['US'],2020-12-16,0.0,98.0,['en'],Post Production,West Side Story,0.0,0.0
27,0.0,"['Drama', 'Music']",624899.0,tt8635092,en,Everybody's Talking About Jamie,8.422,"['New Regency Pictures', 'Warp Films', '20th Century Studios', 'Regency Enterprises', 'Film4 Productions']","['GB', 'US']",2020-10-21,0.0,98.0,['en'],Post Production,Everybody's Talking About Jamie,0.0,0.0
31,0.0,"['Horror', 'Thriller']",565028.0,tt9347730,en,Candyman,15.455,"['Metro-Goldwyn-Mayer', 'Monkeypaw Productions', 'Bron Studios']",['US'],2020-06-11,0.0,98.0,['en'],Post Production,Candyman,0.0,0.0
36,0.0,"['Action', 'Adventure', 'Science Fiction']",438631.0,tt1160419,en,Dune,9.286,"['Legendary Entertainment', 'Warner Bros. Pictures', 'Villeneuve Films']","['CA', 'HU', 'US']",2020-12-17,0.0,98.0,['en'],Post Production,Dune,0.0,0.0
38,0.0,"['Drama', 'History']",614560.0,tt10618286,en,Mank,6.147,[],[],2020-12-31,0.0,98.0,['en'],Post Production,Mank,0.0,0.0
39,0.0,"['Drama', 'Music']",585244.0,tt9779516,en,I Still Believe,17.668,['Kevin Downes Productions'],['US'],2020-03-12,0.0,98.0,['en'],Post Production,I Still Believe,0.0,0.0
40,0.0,"['Horror', 'Thriller']",585216.0,tt9844522,en,Escape Room 2,7.512,"['Original Film', 'Columbia Pictures']",['US'],2020-12-30,0.0,98.0,['en'],In Production,Escape Room 2,0.0,0.0
44,0.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",501929.0,tt7979580,en,Connected,8.094,"['Lord Miller', 'Columbia Pictures', 'Sony Pictures Animation', 'Sony Pictures']",['US'],2020-09-10,0.0,98.0,['en'],In Production,Connected,0.0,0.0
46,0.0,['Animation'],504827.0,tt7466442,en,Bob's Burgers: The Movie,6.34,"['20th Century Fox Animation', 'Bento Box Entertainment', '20th Century Studios']",[],2020-07-16,0.0,98.0,['en'],In Production,Bob's Burgers: The Movie,0.0,0.0
49,0.0,['Thriller'],546121.0,tt8633478,en,Run,9.045,['Lionsgate'],['US'],2020-05-07,0.0,98.0,['en'],Post Production,Run,0.0,0.0
52,0.0,"['Drama', 'Mystery']",449756.0,tt4106514,en,The Postcard Killings,11.295,['K. JAM Media'],"['GB', 'US']",2020-03-13,0.0,98.0,['en'],In Production,The Postcard Killings,0.0,0.0
53,0.0,"['Romance', 'Comedy']",520172.0,tt8522006,en,Happiest Season,6.8679999999999986,"['Temple Hill Entertainment', 'TriStar Pictures', 'Entertainment One']",['US'],2020-11-25,0.0,98.0,['en'],In Production,Happiest Season,0.0,0.0
54,0.0,"['Action', 'Crime', 'Drama', 'Thriller']",493065.0,tt3547306,en,Cut Throat City,6.021,"['Rumble Riot Pictures', 'Patriot Pictures']",['US'],2020-03-31,0.0,132.0,['en'],Post Production,Cut Throat City,0.0,0.0
56,132.0,"['Animation', 'Drama', 'Fantasy', 'Music', 'Romance']",559707.0,tt6435164,en,My Love Affair with Marriage,7.994,['Cinco Dedos Peliculas'],"['LV', 'US']",2020-12-01,0.0,90.0,[],In Production,My Love Affair with Marriage,0.0,0.0
61,0.0,"['Crime', 'Drama', 'Thriller']",560204.0,tt9139586,en,Arkansas,6.789,"['Buffalo 8', 'Don Kee Productions', 'Jeff Rice Films', 'Media Finance Capital', 'Rhea Films', 'Sprockefeller Pictures', 'StoryBoard Media']",['US'],2020-03-15,0.0,115.0,['en'],Post Production,Arkansas,0.0,0.0
