,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
30,50000000.0,"['Horror', 'Science Fiction', 'Thriller']",443791.0,tt5774060,en,Underwater,16.698,"['Chernin Entertainment', '20th Century Fox', 'TSG Entertainment']",['US'],2020-01-08,33617430.0,95.0,['en'],Released,Underwater,6.0,223.0
108,0.0,"['Drama', 'Adventure', 'Thriller']",400090.0,tt4068576,en,The Nightingale,9.743,"['Bron Studios', 'Causeway Films', 'Made Up Stories', 'FilmNation Entertainment', 'Adelaide Film Festival', 'Screen Australia', 'Screen Tasmania', 'South Australian Film Corporation', 'Creative Wealth Media Finance']",['AU'],2019-08-02,800448.0,136.0,"['en', 'ga']",Released,The Nightingale,7.4,131.0
109,0.0,['Comedy'],440762.0,tt6521876,en,Jay and Silent Bob Reboot,26.096,"['SModcast Pictures', 'View Askew Productions', 'Miramax']",['US'],2019-10-15,1011305.0,95.0,"['en', 'de', 'it']",Released,Jay and Silent Bob Reboot,6.1,99.0
112,6000000.0,['Comedy'],505600.0,tt1489887,en,Booksmart,15.053,"['Annapurna Pictures', 'Gloria Sanchez Productions']",['US'],2019-05-24,24849029.0,102.0,"['en', 'es', 'zh']",Released,Booksmart,7.2,937.0
113,260000000.0,"['Adventure', 'Family']",420818.0,tt6105098,en,The Lion King,47.264,"['Walt Disney Pictures', 'Fairview Entertainment']",['US'],2019-07-12,1656943394.0,118.0,['en'],Released,The Lion King,7.1,4581.0
116,0.0,"['Thriller', 'Drama', 'Mystery']",524247.0,tt6722030,en,The Intruder,9.938,"['Hidden Empire Film Group', 'Screen Gems']",['US'],2019-05-03,25724305.0,102.0,['en'],Released,The Intruder,6.2,180.0
120,185000000.0,"['Action', 'Science Fiction']",290859.0,tt6450804,en,Terminator: Dark Fate,86.08,"['Lightstorm Entertainment', 'Skydance Media', '20th Century Fox', 'Paramount', 'Tencent Pictures', 'TSG Entertainment']","['CN', 'US']",2019-10-23,233685077.0,128.0,"['en', 'es']",Released,Terminator: Dark Fate,6.3,1579.0
126,0.0,['Drama'],500860.0,tt5952594,en,The Mustang,8.041,"['Umedia', 'Légende Films', 'France 3 Cinéma']","['BE', 'FR']",2019-03-15,1144575.0,96.0,['en'],Released,The Mustang,7.1,132.0
131,0.0,['Thriller'],500899.0,tt7645780,en,The Wedding Guest,6.617000000000001,"['India Take One Productions', 'Revolution Films', 'Riverstone Pictures', 'Ingenious Media', 'Lipsync Post', 'Stage 6 Films']",['GB'],2019-03-01,386166.0,94.0,['en'],Released,The Wedding Guest,5.8,34.0
132,0.0,"['Comedy', 'Horror', 'Fantasy']",535581.0,tt8695030,en,The Dead Don't Die,13.369000000000002,"['Animal Kingdom', 'Focus Features', 'Film i Väst']","['SE', 'US']",2019-05-15,12104595.0,104.0,['en'],Released,The Dead Don't Die,5.5,974.0
133,100000000.0,"['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']",400157.0,tt6428676,en,Wonder Park,13.876,"['Nickelodeon Movies', 'Paramount Animation', 'Ilion Animation Studios']","['ES', 'US']",2019-03-14,119559110.0,86.0,['en'],Released,Wonder Park,6.2,267.0
135,33000000.0,"['Animation', 'Family', 'Adventure']",330457.0,tt4520988,en,Frozen II,127.227,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",['US'],2019-11-20,1330764959.0,104.0,['en'],Released,Frozen II,7.1,2614.0
138,6000000.0,"['Horror', 'Thriller']",532671.0,tt4504044,en,The Prodigy,13.651,"['Vinson Films', 'XYZ Films', 'Orion Pictures', 'Metro-Goldwyn-Mayer']","['CA', 'US']",2019-02-06,14856291.0,92.0,['en'],Released,The Prodigy,6.1,487.0
140,55000000.0,"['Crime', 'Thriller', 'Drama']",475557.0,tt7286456,en,Joker,98.211,"['DC Entertainment', 'Warner Bros. Pictures', 'DC Comics', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'Creative Wealth Media Finance', 'DC Films']","['CA', 'US']",2019-10-02,1073698955.0,122.0,['en'],Released,Joker,8.2,9545.0
141,42000000.0,"['Horror', 'Action', 'Comedy']",338967.0,tt1560220,en,Zombieland: Double Tap,53.885,"['Pariah', 'Columbia Pictures', 'Sony Pictures']",['US'],2019-10-09,122801777.0,99.0,['en'],Released,Zombieland: Double Tap,6.9,1548.0
143,50000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",456740.0,tt2274648,en,Hellboy,19.32,"['Campbell Grobman Films', 'Dark Horse Entertainment', 'Millennium Films', 'Summit Entertainment', 'Boyana Film Studios', 'Encore Films', 'Lawrence Gordon Productions']","['BG', 'GB', 'US']",2019-04-10,44664690.0,121.0,"['de', 'ru', 'tr', 'en']",Released,Hellboy,5.2,1593.0
153,95000000.0,"['Drama', 'Comedy', 'Thriller']",466272.0,tt7131622,en,Once Upon a Time… in Hollywood,55.335,"['Heyday Films', 'Columbia Pictures', 'Bona Film Group']","['CN', 'GB', 'US']",2019-07-25,374251247.0,162.0,"['en', 'it', 'es']",Released,Once Upon a Time… in Hollywood,7.5,4851.0
155,0.0,"['Comedy', 'Crime', 'Drama']",565383.0,tt9356952,en,The Death of Dick Long,6.63,['A24'],['US'],2019-09-27,36586.0,100.0,['en'],Released,The Death of Dick Long,6.4,23.0
161,40000000.0,"['Action', 'Thriller']",423204.0,tt6189022,en,Angel Has Fallen,39.637,"['Campbell Grobman Films', 'Eclectic Pictures', 'G-BASE', 'Millennium Films']",['US'],2019-08-21,133365452.0,122.0,['en'],Released,Angel Has Fallen,6.0,1217.0
165,50000000.0,"['Action', 'Thriller', 'Drama']",522938.0,tt1206885,en,Rambo: Last Blood,37.36,"['Millennium Films', 'Balboa Productions', 'Templeton Media', 'Campbell Grobman Films', 'Dadi Film Group']","['CN', 'US']",2019-09-19,91490353.0,89.0,"['en', 'es']",Released,Rambo: Last Blood,5.9,1284.0
166,0.0,['Drama'],522039.0,tt4353250,en,The Last Black Man in San Francisco,6.692,"['Longshot', 'Plan B Entertainment', 'A24']",['US'],2019-06-07,2975184.0,120.0,"['ht', 'en']",Released,The Last Black Man in San Francisco,7.4,78.0
170,45000000.0,['Horror'],501170.0,tt5606664,en,Doctor Sleep,44.895,"['Warner Bros. Pictures', 'Vertigo Entertainment', 'Intrepid Pictures']",['US'],2019-10-30,72281712.0,152.0,['en'],Released,Doctor Sleep,7.1,1148.0
173,40000000.0,['Drama'],504608.0,tt2066051,en,Rocketman,24.736,"['Rocket Pictures', 'Marv Films', 'Paramount', 'New Republic Pictures']","['CA', 'GB', 'US']",2019-05-22,167323950.0,121.0,['en'],Released,Rocketman,7.4,1844.0
193,10000000.0,"['Drama', 'Mystery', 'Crime']",511322.0,tt5563334,en,The Good Liar,24.887,"['New Line Cinema', 'Bron Studios', 'Creative Wealth Media Finance']","['DE', 'GB', 'US']",2019-11-08,33256058.0,109.0,['en'],Released,The Good Liar,6.6,202.0
204,20000000.0,"['Drama', 'Romance', 'Crime']",536743.0,tt8722346,en,Queen & Slim,29.352,"['Hillman Grad Productions', 'De La Revolución Films', '3BlackDot']",['US'],2019-11-27,46597100.0,131.0,['en'],Released,Queen & Slim,7.3,117.0
207,7000000.0,"['Horror', 'Thriller', 'Science Fiction']",531309.0,tt7752126,en,Brightburn,20.452,"['Troll Court Entertainment', 'Screen Gems', 'Sony Pictures']",['US'],2019-05-09,32139941.0,91.0,['en'],Released,Brightburn,5.8,1286.0
208,80000000.0,"['Action', 'Comedy', 'Fantasy']",287947.0,tt0448115,en,Shazam!,30.909,"['DC Entertainment', 'DC Comics', 'New Line Cinema', 'Warner Bros. Pictures', 'The Safran Company', 'Seven Bucks Productions', 'DC Films']",['US'],2019-03-29,363533271.0,132.0,['en'],Released,Shazam!,7.0,4380.0
211,14000000.0,"['Drama', 'Romance']",537915.0,tt4126476,en,After,19.694000000000006,"['CalMaple Films', 'Wattpad', 'Offspring Entertainment']",['US'],2019-04-11,69497587.0,106.0,['en'],Released,After,6.1,2503.0
218,45000000.0,['Drama'],292011.0,tt3513548,en,Richard Jewell,24.964,['Warner Bros. Pictures'],['US'],2019-12-13,33904605.0,132.0,['en'],Released,Richard Jewell,7.5,372.0
226,26000000.0,"['Thriller', 'Drama', 'Mystery']",504562.0,tt0385887,en,Motherless Brooklyn,24.974,"['Class 5 Films', 'MWM Studios']",['US'],2019-10-31,18377736.0,145.0,['en'],Released,Motherless Brooklyn,6.9,323.0
233,20000000.0,['Comedy'],521777.0,tt7343762,en,Good Boys,16.38,"['Good Universe', 'Point Grey Pictures']",['US'],2019-08-14,72457330.0,89.0,['en'],Released,Good Boys,6.6,660.0
237,15000000.0,"['Crime', 'Action', 'Thriller']",438674.0,tt6491178,en,Dragged Across Concrete,12.083,"['Cinestate', 'Look to the Sky Films', 'Unified Pictures', 'Moot Point (Dragged) Productions', 'Assemble Media', 'Realmbuilders Productions', 'Victory Square Technologies', 'The Fyzz']","['CA', 'US']",2019-02-21,366845.0,158.0,"['en', 'es']",Released,Dragged Across Concrete,6.6,273.0
238,30000000.0,"['Comedy', 'Romance', 'Drama']",549053.0,tt8623904,en,Last Christmas,28.427,"['Universal Pictures', 'Feigco Entertainment']","['GB', 'US']",2019-11-07,121550750.0,102.0,['en'],Released,Last Christmas,7.0,566.0
240,80000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",412117.0,tt5113040,en,The Secret Life of Pets 2,19.246,"['Universal Pictures', 'Illumination Entertainment']",['US'],2019-05-24,155152550.0,86.0,['en'],Released,The Secret Life of Pets 2,6.6,1076.0
252,90000000.0,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",324857.0,tt4633694,en,Spider-Man: Into the Spider-Verse,46.177,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures']",['US'],2018-12-06,375450417.0,117.0,"['en', 'es']",Released,Spider-Man: Into the Spider-Verse,8.4,6424.0
257,10000000.0,"['Mystery', 'Thriller', 'Horror']",439015.0,tt5690360,en,Slender Man,10.401,"['Madhouse Entertainment', 'Mythology Entertainment', 'Screen Gems']",['US'],2018-08-10,11817275.0,93.0,['en'],Released,Slender Man,4.0,919.0
258,75000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",420814.0,tt4575576,en,Christopher Robin,11.362,"['Walt Disney Pictures', '2DUX²']",['US'],2018-08-02,99138899.0,104.0,['en'],Released,Christopher Robin,7.4,1672.0
260,5000000.0,['History'],476968.0,tt7388562,en,"Paul, Apostle of Christ",10.896,"['Outside Da Box', 'Affirm Films', 'ODB Films']",['US'],2018-03-23,22525668.0,108.0,"['en', 'es']",Released,"Paul, Apostle of Christ",7.0,112.0
261,10000000.0,"['Mystery', 'Horror', 'Thriller']",406563.0,tt5726086,en,Insidious: The Last Key,14.534,"['Stage 6 Films', 'Blumhouse Productions', 'Sony Pictures', 'Universal Pictures']",['US'],2018-01-03,167184112.0,118.0,['en'],Released,Insidious: The Last Key,6.1,1554.0
262,0.0,['Documentary'],490003.0,tt7681902,en,Won't You Be My Neighbor?,10.544,"['Tremolo Productions', 'Impact Partners', 'Focus Features']",['US'],2018-06-08,22835787.0,95.0,['en'],Released,Won't You Be My Neighbor?,8.3,273.0
263,0.0,"['Drama', 'Music', 'Romance', 'Thriller']",519255.0,tt6046314,en,Bel Canto,6.149,"['A-Line Pictures', 'Depth of Field', 'Priority Pictures', 'Bloom', 'Screen Media Films']","['MX', 'US']",2018-09-13,176746000.0,100.0,"['es', 'fr', 'en', 'ja']",Released,Bel Canto,5.1,51.0
265,30000000.0,"['Comedy', 'Drama', 'Romance']",455207.0,tt3104988,en,Crazy Rich Asians,14.685,"['Color Force', 'Ivanhoe Pictures', 'Warner Bros. Pictures']",['US'],2018-08-15,237994561.0,121.0,"['cn', 'zh', 'en']",Released,Crazy Rich Asians,7.1,1937.0
266,69000000.0,"['Mystery', 'Thriller']",401981.0,tt2873282,en,Red Sparrow,19.398,"['Soundtrack New York', 'Chernin Entertainment', 'Film Rites', '20th Century Fox']",['US'],2018-02-28,147988192.0,140.0,['en'],Released,Red Sparrow,6.5,3925.0
