,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,release_date_2
3314,False,,,0,"[{'id': 28, 'name': 'Action'}]",,508950,,en,Untitled Marvel Project (3),Plot unknown.,7.561,,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-07-29,0,,"[{'iso_639_1': 'en', 'name': 'English'}]",Planned,,Untitled Marvel Project (3),False,0.0,0,2022
929,False,/41RgPQeAvDaJ1Msiok96chq2gnd.jpg,,125000000,"[{'id': 878, 'name': 'Science Fiction'}]",,412656,tt2076822,en,Chaos Walking,"A dystopian world where there are no women and all living creatures can hear each others' thoughts in a stream of images, words, and sounds called Noise.",6.227,,"[{'id': 80680, 'logo_path': None, 'name': 'Quadrant Pictures', 'origin_country': ''}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-01-21,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Chaos Walking,False,0.0,0,2021
2006,False,,,0,[],,607259,tt4733624,en,Fatherhood,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,8.495,,"[{'id': 82346, 'logo_path': '/jqgK6CSkPrEsIv6Nk390JaBcXYF.png', 'name': 'Sony Pictures', 'origin_country': 'JP'}, {'id': 12292, 'logo_path': '/llGRXF5WYUW2fzXg0ebCoKMXjmT.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 559, 'logo_path': '/eC0bWHVjnjUducyA6YFoEFqnPMC.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-01-06,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Fatherhood,False,0.0,0,2021
4006,False,,"{'id': 544670, 'name': 'Sing Collection', 'poster_path': '/xS2VLzd9ZG4XyZj5C69abO7ucbv.jpg', 'backdrop_path': '/m3OCUFUGAD2B7Ak9kiHcYcmoum0.jpg'}",0,"[{'id': 10402, 'name': 'Music'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,438695,tt6467266,en,Sing 2,"Sequel to the 2016 animated film, 'Sing'.",5.825,,"[{'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-07-02,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",In Production,,Sing 2,False,0.0,0,2021
400,False,/2ycdhulWPq2C69lYxKKWFgzJjog.jpg,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",https://www.rumblemovie.com,598331,tt8337158,en,Rumble,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father’s footsteps by coaching a loveable underdog monster into a champion.",14.134,/8dFmLzNTDeRCtdXEHV4ro7rd7C9.jpg,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 24955, 'logo_path': '/rH0gVNXekxmpTTvFeIitUzJHFSm.png', 'name': 'Paramount Animation', 'origin_country': 'US'}, {'id': 2787, 'logo_path': None, 'name': 'Reel FX Creative Studios', 'origin_country': ''}, {'id': 10339, 'logo_path': '/oiIi36MaWXwvvHWX5eojoE2Fiyv.png', 'name': 'WWE Studios', 'origin_country': 'US'}, {'id': 10221, 'logo_path': '/99VfWRgKasZoyK9UVB39gnYvFrZ.png', 'name': 'Walden Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-01-29,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",In Production,The biggest underdog story ever,Rumble,False,0.0,0,2021
3678,False,,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/pZ4hR5IIoHHfNjot9rq4F96OGAi.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",https://www.johnwick.movie/,603692,tt10366206,en,John Wick: Chapter 4,Continues where John Wick: Chapter 3 – Parabellum left off.,9.035,/kPsRQfoyYgcpbI6hvDQvUSCo0q3.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 113619, 'logo_path': None, 'name': '87Eleven Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-05-21,0,,"[{'iso_639_1': 'en', 'name': 'English'}]",Planned,,John Wick: Chapter 4,False,0.0,0,2021
851,False,/xkt4GQv1nYNqRBpx91739Vt7OR0.jpg,,0,"[{'id': 16, 'name': 'Animation'}]",https://www.netflix.com/title/81019938,668602,tt11604750,en,Captain Underpants: Epic Choice-o-rama,"In this interactive special, Harold and George need your decision-making skills to stop Krupp from blowing their beloved treehouse to smithereens.",6.407,/rNeJYl0gWG1nuU8Pu83vVzYanFr.jpg,"[{'id': 42141, 'logo_path': None, 'name': 'DreamWorks Animation Television', 'origin_country': 'US'}, {'id': 1938, 'logo_path': None, 'name': 'Scholastic Productions', 'origin_country': 'US'}, {'id': 4152, 'logo_path': None, 'name': 'Titmouse', 'origin_country': ''}, {'id': 106584, 'logo_path': None, 'name': 'Treehouse Comix', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-02-11,0,37.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Choose your adventure and save the treehouse!,Captain Underpants: Epic Choice-o-rama,False,0.0,0,2020
3192,False,/jlQKuNyv5rQEECf5IN9REL0Kl3B.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,550678,tt1369571,en,I Am Fear,"Held captive by terrorists, celebrity reporter, Sara Brown, sits in a cell awaiting her filmed beheading. Sara's captors wish to show the world the true face of terror but how can they, when even they have not seen it yet?",12.706,/mdDY5J2LPrd3HMQ6qu07DNRmUcZ.jpg,"[{'id': 115524, 'logo_path': None, 'name': 'Roxwell Films', 'origin_country': ''}, {'id': 115525, 'logo_path': None, 'name': 'AXIOM 8', 'origin_country': ''}, {'id': 9284, 'logo_path': None, 'name': 'Shout! Factory', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-01-10,0,0.0,[],Released,,I Am Fear,False,8.5,2,2020
4496,False,,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.slaythedragonfilm.com/,598492,tt10011500,en,Slay The Dragon,It influences elections and sways outcomes -- gerrymandering has become a hot-button political topic and symbol for everything broken about the American electoral process. But there are those on the front lines fighting to change the system.,8.199,/9mbNE5aykT9WYyg8uOztI7TX4FI.jpg,"[{'id': 37385, 'logo_path': '/y3FPjH0kunToOvzZyoOnNNBi6TI.png', 'name': 'Ark Media', 'origin_country': 'US'}]",[],2020-03-13,0,101.0,[],Released,,Slay The Dragon,False,0.0,0,2020
270,False,/tneLJc3mLvlymNZFb1DkKcmUpUe.jpg,,0,"[{'id': 53, 'name': 'Thriller'}]",,661437,tt10233954,en,The Lead,"Sasha wants to be a star news reporter but is stuck covering community events at the local TV station. However, when she is kidnapped and held captive, she suddenly becomes the story.",8.391,/ayBsqnqlPRzeKTt3LOKKhlDb7Tr.jpg,[],[],2020-01-05,0,90.0,[],Released,,The Lead,False,5.0,1,2020
1796,False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,670525,tt10120472,en,My Daughter's Psycho Friend,A devious and psychotic student tries to frame a new girl at school for a teen's accidental death at a party.,6.577,,"[{'id': 10377, 'logo_path': None, 'name': 'Feifer Worldwide', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-03-20,0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,My Daughter's Psycho Friend,False,0.0,0,2020
